"","iso2c","iso3c","country","date","Renewable_Consump","Energy_Use","Total_GHG_Emissions","Mortality_Rate"
"1","AE","ARE","United Arab Emirates",1990,0,10748.6547121781,78601.83891,16.5
"2","AE","ARE","United Arab Emirates",1991,0,11694.9217355455,87044.84577,15.7
"3","AE","ARE","United Arab Emirates",1992,0.19,10564.5097345233,85014.50232,14.9
"4","AE","ARE","United Arab Emirates",1993,0.15,10576.0523621813,89207.16657,14.2
"5","AE","ARE","United Arab Emirates",1994,0.12,11186.5382237366,97918.57123,13.6
"6","AE","ARE","United Arab Emirates",1995,0.11,11374.2224694616,102898.948,13.1
"7","AE","ARE","United Arab Emirates",1996,0.08,11361.3978897943,107322.8889,12.6
"8","AE","ARE","United Arab Emirates",1997,0.08,11243.8954757605,110645.3782,12.2
"9","AE","ARE","United Arab Emirates",1998,0.07,10809.3104380839,112802.5869,11.8
"10","AE","ARE","United Arab Emirates",1999,0.07,10408.8652918439,114109.4404,11.5
"11","AE","ARE","United Arab Emirates",2000,0.08,9624.1182194299,114700.9448,11.1
"12","AE","ARE","United Arab Emirates",2001,0.06,11638.6194421976,128615.323,10.9
"13","AE","ARE","United Arab Emirates",2002,0.07,10973.9083649934,130406.6674,10.6
"14","AE","ARE","United Arab Emirates",2003,0.07,10287.4932180709,138690.3398,10.3
"15","AE","ARE","United Arab Emirates",2004,0.1,10480.6153447028,146808.3748,10.1
"16","AE","ARE","United Arab Emirates",2005,0.11,10394.3003410657,156119.516,9.8
"17","AE","ARE","United Arab Emirates",2006,0.12,9430.14610874076,163492.149,9.6
"18","AE","ARE","United Arab Emirates",2007,0.11,8537.9169516046,174308.626,9.4
"19","AE","ARE","United Arab Emirates",2008,0.11,8487.83598058862,200149.8201,9.2
"20","AE","ARE","United Arab Emirates",2009,0.11,7501.04058181498,199977.5026,8.9
"21","AE","ARE","United Arab Emirates",2010,0.11,7273.24930135463,207638.5913,8.7
"22","AE","ARE","United Arab Emirates",2011,0.11,7502.56209618312,215072.184,8.4
"23","AE","ARE","United Arab Emirates",2012,0.1,7892.70590581455,226415.7061,8.2
"24","AE","ARE","United Arab Emirates",2013,0.1,7992.44216677919,238373.2846,8
"25","AE","ARE","United Arab Emirates",2014,0.14,7975.79060816431,240979.5629,7.8
"26","AE","ARE","United Arab Emirates",2015,0.13,NA,253027.5119,7.6
"27","AE","ARE","United Arab Emirates",2016,0.12,NA,260390.6675,7.4
"28","AE","ARE","United Arab Emirates",2017,0.19,NA,251238.4239,7.2
"29","AE","ARE","United Arab Emirates",2018,0.32,NA,234348.9903,7
"30","AE","ARE","United Arab Emirates",2019,0.67,NA,248670.7959,6.8
"31","AE","ARE","United Arab Emirates",2020,0.92,NA,249927.7494,6.6
"32","AR","ARG","Argentina",1990,8.57,1411.35746968601,249188.7612,28.8
"33","AR","ARG","Argentina",1991,8.42,1434.3241990828,253691.6131,28.3
"34","AR","ARG","Argentina",1992,9.01,1487.61907258592,258597.7407,27.6
"35","AR","ARG","Argentina",1993,9.68,1471.83130339105,259460.8354,26.5
"36","AR","ARG","Argentina",1994,9.97,1544.76057894447,263189.7417,25.4
"37","AR","ARG","Argentina",1995,10.18,1546.50812350788,266004.086,24.3
"38","AR","ARG","Argentina",1996,8.64,1583.49370638555,275749.709,23.2
"39","AR","ARG","Argentina",1997,9.72,1614.73000410906,280720.3822,22.2
"40","AR","ARG","Argentina",1998,9.62,1650.72610902792,286322.0268,21.3
"41","AR","ARG","Argentina",1999,8.79,1659.76805574415,292407.6634,20.4
"42","AR","ARG","Argentina",2000,9.85,1660.52009057054,294271.3913,19.7
"43","AR","ARG","Argentina",2001,11.51,1562.31178709416,288040.6186,19
"44","AR","ARG","Argentina",2002,11.62,1502.20934243469,284403.3884,18.3
"45","AR","ARG","Argentina",2003,10.82,1590.84132143851,306433.5855,17.7
"46","AR","ARG","Argentina",2004,9.29,1720.3112556181,322315.2629,17.1
"47","AR","ARG","Argentina",2005,9.64,1712.85349015617,325978.7317,16.6
"48","AR","ARG","Argentina",2006,9.18,1844.2651618793,340578.7653,16.1
"49","AR","ARG","Argentina",2007,7.72,1849.45279643745,352851.0732,15.7
"50","AR","ARG","Argentina",2008,7.65,1928.32659888375,357380.4391,15.4
"51","AR","ARG","Argentina",2009,8.59,1856.09639267081,336630.902,15
"52","AR","ARG","Argentina",2010,8.79,1928.65235658729,342496.5143,14.5
"53","AR","ARG","Argentina",2011,8.83,1952.05105293095,352870.3484,13.9
"54","AR","ARG","Argentina",2012,8.61,1936.80353979442,357872.7655,13.3
"55","AR","ARG","Argentina",2013,8.91,1967.02167752077,366978.6016,12.7
"56","AR","ARG","Argentina",2014,9.79,2029.92282543737,365636.2677,12.2
"57","AR","ARG","Argentina",2015,9.4,NA,372415.2067,11.6
"58","AR","ARG","Argentina",2016,9.38,NA,375694.4541,11
"59","AR","ARG","Argentina",2017,10.37,NA,379420.2746,10.3
"60","AR","ARG","Argentina",2018,10.52,NA,378187.3624,9.5
"61","AR","ARG","Argentina",2019,10.74,NA,374523.504,8.6
"62","AR","ARG","Argentina",2020,9.84,NA,361433.0173,7.7
"63","GB","GBR","United Kingdom",1990,0.65,3597.05162065698,749506.1766,9.3
"64","GB","GBR","United Kingdom",1991,0.61,3707.95197072796,758371.2752,8.7
"65","GB","GBR","United Kingdom",1992,0.84,3684.72453526809,740584.2728,8.2
"66","GB","GBR","United Kingdom",1993,0.78,3713.18581904964,722308.7558,7.7
"67","GB","GBR","United Kingdom",1994,1.02,3732.52111417558,719914.5528,7.4
"68","GB","GBR","United Kingdom",1995,1.06,3728.96315226228,712173.795,7.2
